BOROUGH,BUILDING CLASS CATEGORY, NUMBER OF SALES , MINIMUM SALE PRICE , AVERAGE SALE PRICE , MEDIAN SALE PRICE , MAXIMUM SALE PRICE 
1,01 ONE FAMILY HOMES  ,55,408771,6812888,5075000,25000000
1,02 TWO FAMILY HOMES  ,47,320000,3736718,3085000,15400000
1,03 THREE FAMILY HOMES,33,449249,2857128,1100000,19500000
2,01 ONE FAMILY HOMES  ,516,150000,405594,349995,5000000
2,02 TWO FAMILY HOMES  ,771,150000,421473,428786,1000000
2,03 THREE FAMILY HOMES,276,150000,477090,496240,943750
3,01 ONE FAMILY HOMES  ,1394,150000,580687,475000,10260000
3,02 TWO FAMILY HOMES  ,2375,150000,591108,538888,10979100
3,03 THREE FAMILY HOMES,841,150000,618201,586354,3310000
4,01 ONE FAMILY HOMES  ,4714,150000,461437,425000,3775000
4,02 TWO FAMILY HOMES  ,3402,150000,496094,480000,3500000
4,03 THREE FAMILY HOMES,605,150000,635926,650000,1280000
5,01 ONE FAMILY HOMES  ,2214,150000,401442,375000,4000000
5,02 TWO FAMILY HOMES  ,893,150000,476720,465000,3000000
5,03 THREE FAMILY HOMES,24,157170,327474,290000,670000
Citywide,01 ONE FAMILY HOMES  ,8893,150000,501235,410000,25000000
Citywide,02 TWO FAMILY HOMES  ,7488,150000,536577,487642,15400000
Citywide,03 THREE FAMILY HOMES,1779,150000,639946,580000,19500000
,,18160,,,,
