Year of birth,GENDER,ETHNICITY,CHILD FIRST NAME,COUNT,RANK
2009,FEMALE,BLACK NON HISPANIC,MADISON,188,1
2009,FEMALE,BLACK NON HISPANIC,KAYLA,97,2
2009,FEMALE,BLACK NON HISPANIC,NEVAEH,79,3
2009,FEMALE,BLACK NON HISPANIC,JADA,73,4
2009,FEMALE,BLACK NON HISPANIC,MALIA,71,5
2009,FEMALE,BLACK NON HISPANIC,MAKAYLA,70,6
2009,FEMALE,BLACK NON HISPANIC,AALIYAH,65,7
2009,FEMALE,BLACK NON HISPANIC,LONDON,63,8
2009,FEMALE,BLACK NON HISPANIC,ARIANNA,54,9
2009,FEMALE,BLACK NON HISPANIC,BRIANNA,54,9
2009,FEMALE,BLACK NON HISPANIC,DESTINY,53,10
2009,FEMALE,BLACK NON HISPANIC,OLIVIA,52,11
2009,FEMALE,BLACK NON HISPANIC,CHLOE,51,12
2009,FEMALE,BLACK NON HISPANIC,TAYLOR,51,12
2009,FEMALE,BLACK NON HISPANIC,LAILA,49,13
2009,FEMALE,BLACK NON HISPANIC,ALYSSA,48,14
2009,FEMALE,BLACK NON HISPANIC,GABRIELLE,48,14
2009,FEMALE,BLACK NON HISPANIC,FATOUMATA,47,15
2009,FEMALE,BLACK NON HISPANIC,JAYLA,46,16
2009,FEMALE,BLACK NON HISPANIC,NIA,45,17
2009,FEMALE,BLACK NON HISPANIC,ABIGAIL,44,18
2009,FEMALE,BLACK NON HISPANIC,ANIYAH,43,19
2009,FEMALE,BLACK NON HISPANIC,SERENITY,43,19
2009,FEMALE,BLACK NON HISPANIC,MIA,42,20
2009,FEMALE,BLACK NON HISPANIC,JASMINE,40,21
2009,FEMALE,BLACK NON HISPANIC,LEAH,40,21
2009,FEMALE,BLACK NON HISPANIC,JADE,39,22
2009,FEMALE,BLACK NON HISPANIC,VICTORIA,39,22
2009,FEMALE,BLACK NON HISPANIC,SARAH,38,23
2009,FEMALE,BLACK NON HISPANIC,AVA,36,24
2009,FEMALE,BLACK NON HISPANIC,CHELSEA,36,24
2009,FEMALE,BLACK NON HISPANIC,KHLOE,36,24
2009,FEMALE,BLACK NON HISPANIC,ASHLEY,35,25
2009,FEMALE,BLACK NON HISPANIC,KIMORA,35,25
2009,FEMALE,BLACK NON HISPANIC,MORGAN,35,25
2009,FEMALE,BLACK NON HISPANIC,NAOMI,35,25
2009,FEMALE,BLACK NON HISPANIC,IMANI,34,26
2009,FEMALE,BLACK NON HISPANIC,ZOE,34,26
2009,FEMALE,BLACK NON HISPANIC,SAVANNAH,32,27
2009,FEMALE,BLACK NON HISPANIC,AMELIA,31,28
2009,FEMALE,BLACK NON HISPANIC,MARIAM,31,28
2009,FEMALE,BLACK NON HISPANIC,ARIEL,30,29
2009,FEMALE,BLACK NON HISPANIC,MYA,29,30
2009,FEMALE,BLACK NON HISPANIC,NYLAH,29,30
2009,FEMALE,BLACK NON HISPANIC,AMANI,28,31
2009,FEMALE,BLACK NON HISPANIC,NYLA,28,31
2009,FEMALE,BLACK NON HISPANIC,ALANA,27,32
2009,FEMALE,BLACK NON HISPANIC,FAITH,27,32
2009,FEMALE,BLACK NON HISPANIC,GABRIELLA,26,33
2009,FEMALE,BLACK NON HISPANIC,LAYLA,26,33
2009,FEMALE,BLACK NON HISPANIC,AMINATA,25,34
2009,FEMALE,BLACK NON HISPANIC,ELIZABETH,25,34
2009,FEMALE,BLACK NON HISPANIC,HAILEY,25,34
2009,FEMALE,BLACK NON HISPANIC,HEAVEN,25,34
2009,FEMALE,BLACK NON HISPANIC,MIKAYLA,25,34
2009,FEMALE,BLACK NON HISPANIC,SANAA,25,34
2009,FEMALE,BLACK NON HISPANIC,SASHA,25,34
2009,FEMALE,BLACK NON HISPANIC,SYDNEY,25,34
2009,FEMALE,BLACK NON HISPANIC,ANIYA,24,35
2009,FEMALE,BLACK NON HISPANIC,DANIELLE,24,35
2009,FEMALE,BLACK NON HISPANIC,EMILY,24,35
2009,FEMALE,BLACK NON HISPANIC,ISABELLA,24,35
2009,FEMALE,BLACK NON HISPANIC,SANAI,24,35
2009,FEMALE,BLACK NON HISPANIC,ALIYAH,23,36
2009,FEMALE,BLACK NON HISPANIC,AUTUMN,23,36
2009,FEMALE,BLACK NON HISPANIC,MARIAH,23,36
2009,FEMALE,BLACK NON HISPANIC,MAYA,23,36
2009,FEMALE,BLACK NON HISPANIC,MICHELLE,23,36
2009,FEMALE,BLACK NON HISPANIC,SAMANTHA,23,36
2009,FEMALE,BLACK NON HISPANIC,AMAYA,22,37
2009,FEMALE,BLACK NON HISPANIC,ANAYA,22,37
2009,FEMALE,BLACK NON HISPANIC,GENESIS,22,37
2009,FEMALE,BLACK NON HISPANIC,JAYDA,22,37
2009,FEMALE,BLACK NON HISPANIC,LAUREN,22,37
2009,FEMALE,BLACK NON HISPANIC,MEGAN,22,37
2009,FEMALE,BLACK NON HISPANIC,TAMIA,22,37
2009,FEMALE,BLACK NON HISPANIC,AMIRA,21,38
2009,FEMALE,BLACK NON HISPANIC,BRIELLE,21,38
2009,FEMALE,BLACK NON HISPANIC,MILAN,21,38
2009,FEMALE,BLACK NON HISPANIC,RIHANNA,21,38
2009,FEMALE,BLACK NON HISPANIC,SANIYAH,21,38
2009,FEMALE,BLACK NON HISPANIC,KAYLEE,20,39
2009,FEMALE,BLACK NON HISPANIC,MALIYAH,20,39
2009,FEMALE,BLACK NON HISPANIC,MARIAMA,20,39
2009,FEMALE,BLACK NON HISPANIC,PAIGE,20,39
2009,FEMALE,BLACK NON HISPANIC,AMIYAH,19,40
2009,FEMALE,BLACK NON HISPANIC,ANGEL,19,40
2009,FEMALE,BLACK NON HISPANIC,JAZMINE,19,40
2009,FEMALE,BLACK NON HISPANIC,KENNEDY,19,40
2009,FEMALE,BLACK NON HISPANIC,TIANA,19,40
2009,FEMALE,BLACK NON HISPANIC,ALEXIS,18,41
2009,FEMALE,BLACK NON HISPANIC,ARIANA,18,41
2009,FEMALE,BLACK NON HISPANIC,HAWA,18,41
2009,FEMALE,BLACK NON HISPANIC,JANIYAH,18,41
2009,FEMALE,BLACK NON HISPANIC,SKYLAR,18,41
2009,FEMALE,BLACK NON HISPANIC,TRINITY,18,41
2009,FEMALE,BLACK NON HISPANIC,DIAMOND,17,42
2009,FEMALE,BLACK NON HISPANIC,EMMA,17,42
2009,FEMALE,BLACK NON HISPANIC,JANIYA,17,42
2009,FEMALE,BLACK NON HISPANIC,JESSICA,17,42
2009,FEMALE,BLACK NON HISPANIC,SOPHIA,17,42
2009,FEMALE,BLACK NON HISPANIC,TORI,17,42
2009,FEMALE,BLACK NON HISPANIC,AMBER,16,43
2009,FEMALE,BLACK NON HISPANIC,BRIANA,16,43
2009,FEMALE,BLACK NON HISPANIC,FATIMA,16,43
2009,FEMALE,BLACK NON HISPANIC,GRACE,16,43
2009,FEMALE,BLACK NON HISPANIC,KAITLYN,16,43
2009,FEMALE,BLACK NON HISPANIC,MIRACLE,16,43
2009,FEMALE,BLACK NON HISPANIC,PEYTON,16,43
2009,FEMALE,BLACK NON HISPANIC,SUMMER,16,43
2009,FEMALE,BLACK NON HISPANIC,TALIYAH,16,43
2009,FEMALE,BLACK NON HISPANIC,TIANNA,16,43
2009,FEMALE,BLACK NON HISPANIC,ALICIA,15,44
2009,FEMALE,BLACK NON HISPANIC,AMANDA,15,44
2009,FEMALE,BLACK NON HISPANIC,AMIRAH,15,44
2009,FEMALE,BLACK NON HISPANIC,HARMONY,15,44
2009,FEMALE,BLACK NON HISPANIC,KATELYN,15,44
2009,FEMALE,BLACK NON HISPANIC,KIARA,15,44
2009,FEMALE,BLACK NON HISPANIC,KYLIE,15,44
2009,FEMALE,BLACK NON HISPANIC,OUMOU,15,44
2009,FEMALE,BLACK NON HISPANIC,SANIYA,15,44
2009,FEMALE,BLACK NON HISPANIC,SHANIA,15,44
2009,FEMALE,BLACK NON HISPANIC,SKYE,15,44
2009,FEMALE,BLACK NON HISPANIC,TIFFANY,15,44
2009,FEMALE,BLACK NON HISPANIC,ANGELINA,14,45
2009,FEMALE,BLACK NON HISPANIC,BINTOU,14,45
2009,FEMALE,BLACK NON HISPANIC,DAKOTA,14,45
2009,FEMALE,BLACK NON HISPANIC,ESSENCE,14,45
2009,FEMALE,BLACK NON HISPANIC,PARIS,14,45
2009,FEMALE,BLACK NON HISPANIC,PRINCESS,14,45
2009,FEMALE,BLACK NON HISPANIC,SKYLA,14,45
2009,FEMALE,BLACK NON HISPANIC,AMINA,13,46
2009,FEMALE,BLACK NON HISPANIC,CHRISTINA,13,46
2009,FEMALE,BLACK NON HISPANIC,ERIN,13,46
2009,FEMALE,BLACK NON HISPANIC,HANNAH,13,46
2009,FEMALE,BLACK NON HISPANIC,JANELLE,13,46
2009,FEMALE,BLACK NON HISPANIC,JORDYN,13,46
2009,FEMALE,BLACK NON HISPANIC,AISHA,12,47
2009,FEMALE,BLACK NON HISPANIC,AISSATOU,12,47
2009,FEMALE,BLACK NON HISPANIC,ARIELLE,12,47
2009,FEMALE,BLACK NON HISPANIC,BREANNA,12,47
2009,FEMALE,BLACK NON HISPANIC,CHANEL,12,47
2009,FEMALE,BLACK NON HISPANIC,COURTNEY,12,47
2009,FEMALE,BLACK NON HISPANIC,JANAE,12,47
2009,FEMALE,BLACK NON HISPANIC,JOLIE,12,47
2009,FEMALE,BLACK NON HISPANIC,KADIATOU,12,47
2009,FEMALE,BLACK NON HISPANIC,KALIYAH,12,47
2009,FEMALE,BLACK NON HISPANIC,KYLA,12,47
2009,FEMALE,BLACK NON HISPANIC,MADISYN,12,47
2009,FEMALE,BLACK NON HISPANIC,MELISSA,12,47
2009,FEMALE,BLACK NON HISPANIC,PRECIOUS,12,47
2009,FEMALE,BLACK NON HISPANIC,SADE,12,47
2009,FEMALE,BLACK NON HISPANIC,SARAI,12,47
2009,FEMALE,BLACK NON HISPANIC,SHANIYA,12,47
2009,FEMALE,BLACK NON HISPANIC,ZARIAH,12,47
2009,FEMALE,BLACK NON HISPANIC,AMIYA,11,48
2009,FEMALE,BLACK NON HISPANIC,BIANCA,11,48
2009,FEMALE,BLACK NON HISPANIC,BROOKE,11,48
2009,FEMALE,BLACK NON HISPANIC,CAMILLE,11,48
2009,FEMALE,BLACK NON HISPANIC,ESTHER,11,48
2009,FEMALE,BLACK NON HISPANIC,JORDAN,11,48
2009,FEMALE,BLACK NON HISPANIC,LEILA,11,48
2009,FEMALE,BLACK NON HISPANIC,LEILANI,11,48
2009,FEMALE,BLACK NON HISPANIC,LONDYN,11,48
2009,FEMALE,BLACK NON HISPANIC,MCKENZIE,11,48
2009,FEMALE,BLACK NON HISPANIC,RACHEL,11,48
2009,FEMALE,BLACK NON HISPANIC,SAMARA,11,48
2009,FEMALE,BLACK NON HISPANIC,SHAYLA,11,48
2009,FEMALE,BLACK NON HISPANIC,SIDNEY,11,48
2009,FEMALE,BLACK NON HISPANIC,ZANIYAH,11,48
2009,FEMALE,BLACK NON HISPANIC,ALEXA,10,49
2009,FEMALE,BLACK NON HISPANIC,AYANNA,10,49
2009,FEMALE,BLACK NON HISPANIC,CHEYENNE,10,49
2009,FEMALE,BLACK NON HISPANIC,GLORIA,10,49
2009,FEMALE,BLACK NON HISPANIC,ISIS,10,49
2009,FEMALE,BLACK NON HISPANIC,JOHANNA,10,49
2009,FEMALE,BLACK NON HISPANIC,KELSEY,10,49
2009,FEMALE,BLACK NON HISPANIC,KENYA,10,49
2009,FEMALE,BLACK NON HISPANIC,MALEAH,10,49
2009,FEMALE,BLACK NON HISPANIC,MARLEY,10,49
2009,FEMALE,BLACK NON HISPANIC,SAGE,10,49
2009,FEMALE,BLACK NON HISPANIC,SARIAH,10,49
2009,FEMALE,BLACK NON HISPANIC,TATIANA,10,49
2009,FEMALE,BLACK NON HISPANIC,TIARA,10,49
2009,FEMALE,BLACK NON HISPANIC,ZOEY,10,49
