Date of Speech,Speaker,Law Speech Title,Link to PDF File
11/27/12,Michael A. Cardozo,"Corporation Counsel Michael A. Cardozo's Remarks at the Bloomberg Administration's Legal Legacy Symposium, Fordham Law School",http://www.nyc.gov/html/law/downloads/pdf/Mayor%27s_Legal_Legacy_Symposium_Remarks.pdf
10/11/12,Michael A. Cardozo,Corporation Counsel's Michael A. Cardozo's Remarks at the Law Department's Bi-Annual Alumni Dinner,http://www.nyc.gov/html/law/downloads/pdf/Remarks_Victor_Kovner.pdf
3/24/12,Michael A. Cardozo,Remarks of Corporation Counsel Michael A. Cardozo on a Government's Role in the Pursuit of Justice for the Sam and Anna Jacobs Foundation Lecture on Law and the Legal Profession at John Jay College Law Day,http://www.nyc.gov/html/law/downloads/pdf/John_Jay_Speech_March_24.pdf
11/23/11,Michael A. Cardozo,"Address of Corporation Counsel Michael A. Cardozo to the Federal Bar Council in Accepting the Emory Buckner Medal, Focusing on the Legal Profession Today and How to Improve the Training of Junior Lawyers and Support Government and Legal Services Offices, New York",http://www.nyc.gov/html/law/downloads/pdf/FBC_Emory_Buckner_Award.pdf
9/22/11,Michael A. Cardozo,"Remarks of Corporation Counsel Michael A. Cardozo to the Citizens Budget Commission on the City's Legal & Financial ""Catch-22's,"" New York",http://www.nyc.gov/html/law/downloads/pdf/CBC.pdf
7/20/11,Michael A. Cardozo,"Testimony of Michael A. Cardozo Before the Special Commission on Judicial Compensation, Albany, New York",http://www.nyc.gov/html/law/downloads/pdf/Statement%20on%20judicial%20compensation.pdf
1/24/11,Michael A. Cardozo,"Remarks of Corporation Counsel Michael A. Cardozo on the Future of the Legal Profession, Hofstra Law School Distinguished Practitioners Series",http://www.nyc.gov/html/law/downloads/pdf/2897763_1.pdf
3/29/10,Michael A. Cardozo,Remarks of Corporation Counsel Michael A. Cardozo on New York City's Initiative to Provide Free Legal Representation for Homeowners Facing Foreclosure,http://www.nyc.gov/html/law/downloads/pdf/Speech_Cyrus_Vance_Tribute_Award.pdf
12/4/09,Michael A. Cardozo,"Remarks of Corporation Counsel Michael A. Cardozo Upon Accepting the Cyrus Vance Tribute Award from the Fund for Modern Courts, Discussing Judicial Efficiency in Times of Economic Crisis",http://www.nyc.gov/html/law/downloads/pdf/Speech_Cyrus_Vance_Tribute_Award.pdf
3/12/09,Michael A. Cardozo,"Corporation Counsel Michael A. Cardozo Speaks at Brown Class of 1963 Mini-Reunion, Discussing Career Challenges and Highlights",http://www.nyc.gov/html/law/downloads/pdf/2289203_1.pdf
1/15/09,Michael A. Cardozo,"Corporation Counsel Michael A. Cardozo Welcomes Attendants of the Annual New York Self Insurers Association Meeting, Where John Sweeney has been Elected the Association's New President",http://www.nyc.gov/html/law/downloads/pdf/2195452_1.pdf
